time,open,high,low,close,volume
2020-01-16 17:00,1.11303,1.11360,1.11291,1.11346,5171
2020-01-16 18:00,1.11347,1.11361,1.11317,1.11346,3921
2020-01-16 19:00,1.11346,1.11355,1.11326,1.11348,3021
2020-01-16 20:00,1.11348,1.11381,1.11345,1.11379,2676
2020-01-16 21:00,1.11378,1.11381,1.11343,1.11358,1488
2020-01-16 22:00,1.11358,1.11378,1.11343,1.11372,1865
2020-01-16 23:00,1.11371,1.11376,1.11355,1.11368,1254
2020-01-17 00:00,1.11368,1.11392,1.11351,1.11374,2156
2020-01-17 01:00,1.11375,1.11390,1.11339,1.11368,3053
2020-01-17 02:00,1.11368,1.11425,1.11362,1.11362,2932
2020-01-17 03:00,1.11362,1.11378,1.11308,1.11309,2349
2020-01-17 04:00,1.11309,1.11337,1.11309,1.11319,1930
2020-01-17 05:00,1.11318,1.11376,1.11318,1.11364,1621
2020-01-17 06:00,1.11364,1.11403,1.11347,1.11396,2541
2020-01-17 07:00,1.11395,1.11411,1.11348,1.11363,5370
2020-01-17 08:00,1.11363,1.11396,1.11339,1.11355,6267
2020-01-17 09:00,1.11355,1.11376,1.11248,1.11276,9978
2020-01-17 10:00,1.11275,1.11282,1.11157,1.11160,8581
2020-01-17 11:00,1.11158,1.11158,1.11063,1.11123,8871
2020-01-17 12:00,1.11124,1.11147,1.11059,1.11098,7697
2020-01-17 13:00,1.11097,1.11119,1.10980,1.11004,12099
2020-01-17 14:00,1.11004,1.11061,1.10956,1.11005,10515
2020-01-17 15:00,1.11007,1.11028,1.10862,1.10938,14931
2020-01-17 16:00,1.10938,1.10961,1.10888,1.10917,7658
2020-01-17 17:00,1.10917,1.10949,1.10880,1.10911,4969
2020-01-17 18:00,1.10910,1.10943,1.10902,1.10925,3251
2020-01-17 19:00,1.10926,1.10946,1.10905,1.10931,1981
2020-01-17 20:00,1.10930,1.10933,1.10913,1.10927,2593
2020-01-17 21:00,1.10925,1.10928,1.10886,1.10890,2517
